Dataset,Model,Measure,Drift Strength,Value
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,1.349065842623876
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,1.3208916892723623
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,0.8952760953307292
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,2.3403036948072167
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,1.9225406078386436
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,1.693297182030718
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,4.575509258460712
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,3.951410605968174
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,3.8287745176447867
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,6.0230423968365505
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,5.971248193011561
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,5.485922131461782
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,6.706987432917832
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,6.4002759228394615
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,6.3129345997480995
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,0.07413158078970028
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,0.06148803410888409
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,0.05641405886311747
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,0.10148822879588337
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,0.08763886779804253
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,0.08695492633568076
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,0.1522012840829634
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,0.1479011443995038
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,0.1493999335343942
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,0.1886224448167293
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,0.1994409005831257
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,0.1948682140583521
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,0.20808557273105954
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,0.2185406724905574
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,0.21026086305004132
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.3038890006971116
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.2779929240762394
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.266119514884303
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.3523003936046079
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.34130778879738055
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.3337740589291692
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.4411952861071668
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.42700324610979057
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.4333822479810343
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.5038106702944972
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.49965726950008515
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.5027010261347454
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,0.5277435266204993
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,0.5247207098974748
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,0.5287244301208455
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.09689481143386265
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.08042951994742151
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.07345236713063677
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.13457460753151407
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.11099447832073216
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.11259123680947627
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.22625468312900401
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.21263504072353231
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.20786756419123875
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.30165759966296674
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.28036916174760895
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.3022664176554018
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.3201541926881511
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.3134191576562946
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.3302036090160592
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.01663384400308132
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.018647613003849983
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.016311809420585632
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.15524694323539734
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.15004979074001312
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.15011055767536163
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.26774513721466064
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.2628840208053589
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.2614453136920929
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.32760289311408997
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.3242456018924713
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.3230125308036804
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.3495033085346222
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.34706735610961914
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.3453879654407501
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.1266534214019775
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.07814394440650937
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.08488404359817509
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.7126387761116029
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.6664581598520278
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.7043882759809494
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.2840983991622925
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.2559066765785216
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.2746685482025146
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.5977846506595612
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.6088971630573274
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.6136024806261062
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.713522958421707
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.7435194776296614
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.7658657523155212
yelp_review_full,bert-base-uncased,kl,0.0,1.0730699920377726
yelp_review_full,bert-base-uncased,kl,0.0,1.0546702006162645
yelp_review_full,bert-base-uncased,kl,0.0,0.9897833943254524
yelp_review_full,bert-base-uncased,kl,0.25,2.0771887909490427
yelp_review_full,bert-base-uncased,kl,0.25,1.7564122886402438
yelp_review_full,bert-base-uncased,kl,0.25,2.005105343175356
yelp_review_full,bert-base-uncased,kl,0.5,3.6397706658473608
yelp_review_full,bert-base-uncased,kl,0.5,2.975298918943278
yelp_review_full,bert-base-uncased,kl,0.5,3.8418228597630204
yelp_review_full,bert-base-uncased,kl,0.75,4.179297484326246
yelp_review_full,bert-base-uncased,kl,0.75,3.8441598970538884
yelp_review_full,bert-base-uncased,kl,0.75,4.034487352299429
yelp_review_full,bert-base-uncased,kl,1.0,3.8444247810678
yelp_review_full,bert-base-uncased,kl,1.0,4.0838899476332715
yelp_review_full,bert-base-uncased,kl,1.0,4.492628942475246
