Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
ag_news,bert-base-uncased,bhattacharyya,0.0,2.164071586141537,0.052957137563853944
ag_news,bert-base-uncased,bhattacharyya,0.25,2.2807712978552956,0.050655132042373596
ag_news,bert-base-uncased,bhattacharyya,0.5,2.2419730547037653,0.3929418599200544
ag_news,bert-base-uncased,bhattacharyya,0.75,2.099736423631404,0.0891187097718507
ag_news,bert-base-uncased,bhattacharyya,1.0,2.403564276016064,0.4218773493700759
ag_news,bert-base-uncased,hellinger,0.0,0.940760330760703,0.0031991515540572652
ag_news,bert-base-uncased,hellinger,0.25,0.9486652864476329,0.009093550347451297
ag_news,bert-base-uncased,hellinger,0.5,0.9197691375811351,0.017585319063204236
ag_news,bert-base-uncased,hellinger,0.75,0.924536371963744,0.04435144699845381
ag_news,bert-base-uncased,hellinger,1.0,0.9448339035460931,0.016503621878293403
ag_news,bert-base-uncased,js,0.0,0.6139789988364776,0.004347604950036519
ag_news,bert-base-uncased,js,0.25,0.6386329297075476,0.01119756746819982
ag_news,bert-base-uncased,js,0.5,0.5995393056935009,0.03183949061607016
ag_news,bert-base-uncased,js,0.75,0.624965121769458,0.024050885475094833
ag_news,bert-base-uncased,js,1.0,0.6291907999244801,0.004678187506554768
ag_news,bert-base-uncased,kl,0.0,20.93627941282647,0.5013682730369367
ag_news,bert-base-uncased,kl,0.25,21.56334860811181,0.7027988187924739
ag_news,bert-base-uncased,kl,0.5,20.293992095370612,1.4367377839281594
ag_news,bert-base-uncased,kl,0.75,20.76917866622052,1.161311597420986
ag_news,bert-base-uncased,kl,1.0,20.60833482277781,1.57102711937173
ag_news,bert-base-uncased,mmd,0.0,0.11563222358624141,0.009444598805814084
ag_news,bert-base-uncased,mmd,0.25,0.2278676082690557,0.019568828797690122
ag_news,bert-base-uncased,mmd,0.5,0.3229325513044993,0.007930531322817031
ag_news,bert-base-uncased,mmd,0.75,0.3580366273721059,0.0103155040021056
ag_news,bert-base-uncased,mmd,1.0,0.36395002404848736,0.020108235102722125
ag_news,bert-base-uncased,wasserstein,0.0,1.0324596107006072,0.21108378864257216
ag_news,bert-base-uncased,wasserstein,0.25,1.800511533121268,0.3297719012713119
ag_news,bert-base-uncased,wasserstein,0.5,2.289212640126546,0.32066308607813565
ag_news,bert-base-uncased,wasserstein,0.75,2.453087432980537,0.4243870339819077
ag_news,bert-base-uncased,wasserstein,1.0,2.5905255964398384,0.2934047940816274
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.0,2.441049036261379,0.19209119935280233
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.25,2.7427700635045067,1.0185628635490172
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.5,2.757773681546707,0.9999170722500486
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.75,2.289530560494359,0.493729395667082
ag_news,nlpaueb/sec-bert-base,bhattacharyya,1.0,2.3980499864824774,0.3360366248695657
ag_news,nlpaueb/sec-bert-base,hellinger,0.0,0.9548639808132077,0.009256170759958042
ag_news,nlpaueb/sec-bert-base,hellinger,0.25,0.9375800759133469,0.026205351350262137
