Dataset,Model,Measure,Drift Strength,Mean,Std
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,1.1884112090756558,0.20759671145750674
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,1.9853804948921925,0.2678506990190349
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,4.118564794024557,0.3269644070577594
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,5.8267375737699645,0.24191876622020259
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,6.473399318501798,0.16897668887979037
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,0.06401122458723395,0.007449944673050138
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,0.09202734097653555,0.00669568232662897
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,0.14983412067228716,0.0017821689365021401
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,0.19431051981940237,0.004434186392149609
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,0.21229570275721943,0.0045042725806130985
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,0.2826671465525514,0.015769586370807408
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,0.3424607471103858,0.007607156883717532
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,0.43386026006599726,0.005803727048877563
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,0.5020563219764426,0.0017558316412373584
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,0.5270628888796066,0.0017038964576332285
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.08359223283730699,0.009828160673810322
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.11938677422057416,0.010759185840589608
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.21558576268125837,0.007791089173397023
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.2947643930219925,0.010181999719086642
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.3212589864535016,0.0068966116709605705
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.017197756096720695,0.0010335994884371758
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.1518024206161499,0.002435764530673623
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.2640248239040375,0.0026954305358231068
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.32495367527008057,0.0019397392170503736
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.34731951355934143,0.0016895188018679619
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.09656046980222066,0.021456103036468888
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.6944950706481934,0.020109184690013104
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.2715578746477763,0.01171752314650117
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.606761431447665,0.00663183978214271
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.7409693961222967,0.0214448005341346
yelp_review_full,bert-base-uncased,kl,0.0,1.039174528993163,0.0357234863818535
yelp_review_full,bert-base-uncased,kl,0.25,1.946235474254881,0.13741333561776836
yelp_review_full,bert-base-uncased,kl,0.5,3.48563081485122,0.37016685899945045
yelp_review_full,bert-base-uncased,kl,0.75,4.0193149112265205,0.1372393355341133
yelp_review_full,bert-base-uncased,kl,1.0,4.1403145570587725,0.26761908393348677
yelp_review_full,bert-base-uncased,js,0.0,0.058355409206252366,0.0006979783692980209
yelp_review_full,bert-base-uncased,js,0.25,0.14129497300473393,0.009840470595814992
yelp_review_full,bert-base-uncased,js,0.5,0.21947581227047944,0.014525069242678169
yelp_review_full,bert-base-uncased,js,0.75,0.2148855093693954,0.011532160051909986
yelp_review_full,bert-base-uncased,js,1.0,0.20478793470314308,0.011723799382921962
yelp_review_full,bert-base-uncased,hellinger,0.0,0.2669374646766464,0.001643310625082739
yelp_review_full,bert-base-uncased,hellinger,0.25,0.4247628433689696,0.01843974120425336
yelp_review_full,bert-base-uncased,hellinger,0.5,0.5156651972129607,0.017462859356482213
yelp_review_full,bert-base-uncased,hellinger,0.75,0.5143855499074611,0.016257356732243534
yelp_review_full,bert-base-uncased,hellinger,1.0,0.5137945108394341,0.01667073435331093
yelp_review_full,bert-base-uncased,bhattacharyya,0.0,0.0739250776250462,0.0009456486394342077
yelp_review_full,bert-base-uncased,bhattacharyya,0.25,0.19652194939771037,0.010378971670009033
yelp_review_full,bert-base-uncased,bhattacharyya,0.5,0.3131449825976006,0.015878344013808537
yelp_review_full,bert-base-uncased,bhattacharyya,0.75,0.3096048095338998,0.02288292817865189
yelp_review_full,bert-base-uncased,bhattacharyya,1.0,0.30219238540648896,0.019997688721537402
yelp_review_full,bert-base-uncased,mmd,0.0,0.017897598445415497,0.0020011786837130785
yelp_review_full,bert-base-uncased,mmd,0.25,0.3761669397354126,0.00289315078407526
yelp_review_full,bert-base-uncased,mmd,0.5,0.5287994742393494,0.0007133660838007927
yelp_review_full,bert-base-uncased,mmd,0.75,0.569523274898529,0.0026867070700973272
yelp_review_full,bert-base-uncased,mmd,1.0,0.5717215538024902,0.0027731144800782204
yelp_review_full,bert-base-uncased,wasserstein,0.0,0.1262769911934932,0.021580713463290466
