distance_name,method,overhead_mean,overhead_std
canberra,kll2d,0.000254209836324056,3.9853911092925116e-05
canberra,normal,2.2530555725097656e-05,2.685198999107838e-06
canberra,pca2,2.998510996500651e-05,3.7279960518239986e-06
chebyshev,kll2d,0.0002603252728780111,5.344455747547133e-05
chebyshev,normal,1.6224384307861327e-05,1.2480611706274743e-06
chebyshev,pca2,2.5280316670735677e-05,1.4680205327985934e-06
euclidean,kll2d,0.0002469062805175781,5.076803827164675e-05
euclidean,normal,1.8846988677978515e-05,1.563524874009303e-06
euclidean,pca2,2.656380335489909e-05,2.0031083335644047e-06
mahalanobis,kll2d,0.000507807731628418,8.318745401922966e-05
mahalanobis,normal,0.08268481095631917,0.0018325818253326733
mahalanobis,pca2,9.466012318929037e-05,1.2490656440543195e-05
manhattan,kll2d,0.0002525448799133301,5.485171952308722e-05
manhattan,normal,1.610120137532552e-05,1.9642878436346213e-06
manhattan,pca2,2.4418036142985027e-05,2.4340373866067147e-06
minkowski,kll2d,0.0002933224042256673,7.159909412850553e-05
minkowski,normal,2.4592876434326173e-05,1.968578187635835e-06
minkowski,pca2,3.0279159545898438e-05,3.4769278245860187e-06
