Dataset,Model,Measure,Drift Strength,Mean,Std
yelp_review_full,nlpaueb/sec-bert-base,kl,0.0,87.87194838047738,15.73625112504537
yelp_review_full,nlpaueb/sec-bert-base,kl,0.25,109.59206142626367,21.58436216277892
yelp_review_full,nlpaueb/sec-bert-base,kl,0.5,134.53328227056363,26.071187187777934
yelp_review_full,nlpaueb/sec-bert-base,kl,0.75,158.01355980250574,31.670048975846846
yelp_review_full,nlpaueb/sec-bert-base,kl,1.0,165.475172827188,32.83597183503604
yelp_review_full,nlpaueb/sec-bert-base,js,0.0,2.918374372709072,0.547659458881617
yelp_review_full,nlpaueb/sec-bert-base,js,0.25,3.342565819528298,0.6088347291043668
yelp_review_full,nlpaueb/sec-bert-base,js,0.5,3.9964946730217115,0.8798434416500281
yelp_review_full,nlpaueb/sec-bert-base,js,0.75,4.414567438599147,0.8322666213729734
yelp_review_full,nlpaueb/sec-bert-base,js,1.0,4.740458836290576,0.9627171337475723
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.0,1.9823099417484098,0.20438002054749346
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.25,2.136761444462165,0.21386768436913045
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.5,2.2827748356197994,0.3107482206618689
yelp_review_full,nlpaueb/sec-bert-base,hellinger,0.75,2.451592595999507,0.2400904139668504
yelp_review_full,nlpaueb/sec-bert-base,hellinger,1.0,2.492609813333102,0.27073710543814694
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.0,-2.213656956814171,0.08745168560162773
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.25,-2.151950692062733,0.06924259529135834
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.5,-2.0443644318595298,0.06999436213921251
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,0.75,-1.9492763731783154,0.07694894650371026
yelp_review_full,nlpaueb/sec-bert-base,bhattacharyya,1.0,-1.8986105724842195,0.10372547470835401
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.0,0.038289852074702674,0.0021965263707156377
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.25,0.1641946412652271,0.0024526746862817504
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.5,0.27737365702161004,0.001797050488512023
yelp_review_full,nlpaueb/sec-bert-base,mmd,0.75,0.3356084852064048,0.002442435423030423
yelp_review_full,nlpaueb/sec-bert-base,mmd,1.0,0.35799581608064446,0.00219275369190412
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.0,0.2185626904567083,0.028194281019324998
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.25,0.7889935375054679,0.17552647097732457
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.5,1.3439902185599006,0.24992106806410214
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,0.75,1.6864455386797588,0.3099373322781205
yelp_review_full,nlpaueb/sec-bert-base,wasserstein,1.0,1.7793746214310329,0.3526864740473715
yelp_review_full,bert-base-uncased,kl,0.0,64.10213280739352,3.4899545530553477
yelp_review_full,bert-base-uncased,kl,0.25,81.5521668182309,8.858883035453173
yelp_review_full,bert-base-uncased,kl,0.5,102.27063433636651,11.466385861006778
yelp_review_full,bert-base-uncased,kl,0.75,102.33185243818711,7.2883019677396925
yelp_review_full,bert-base-uncased,kl,1.0,97.10033981797694,12.68888071652853
yelp_review_full,bert-base-uncased,js,0.0,2.0914521650207276,0.13859262345959544
yelp_review_full,bert-base-uncased,js,0.25,2.716041966580349,0.19647954143342308
yelp_review_full,bert-base-uncased,js,0.5,2.969356715550159,0.10217857278400386
yelp_review_full,bert-base-uncased,js,0.75,3.076504698262126,0.27559017740474223
yelp_review_full,bert-base-uncased,js,1.0,2.9888413513328627,0.21900003172886345
yelp_review_full,bert-base-uncased,hellinger,0.0,1.6929343714190168,0.04788521180954763
yelp_review_full,bert-base-uncased,hellinger,0.25,1.9800904150751968,0.04898249795839486
yelp_review_full,bert-base-uncased,hellinger,0.5,2.0740861432282736,0.09665985404367368
yelp_review_full,bert-base-uncased,hellinger,0.75,2.0871396676579472,0.06719541110217227
yelp_review_full,bert-base-uncased,hellinger,1.0,2.0769970796971307,0.07660433582553362
yelp_review_full,bert-base-uncased,bhattacharyya,0.0,-1.7637605644797978,0.09800239085286723
yelp_review_full,bert-base-uncased,bhattacharyya,0.25,-1.6041245190092595,0.09455085046982341
yelp_review_full,bert-base-uncased,bhattacharyya,0.5,-1.4885825645459911,0.054089395946273856
yelp_review_full,bert-base-uncased,bhattacharyya,0.75,-1.4648238878869622,0.0940076750819173
yelp_review_full,bert-base-uncased,bhattacharyya,1.0,-1.5186327633298884,0.05272824619064222
yelp_review_full,bert-base-uncased,mmd,0.0,0.03545004576974368,0.0006312064556812937
yelp_review_full,bert-base-uncased,mmd,0.25,0.38275352079026975,0.003667513597224743
yelp_review_full,bert-base-uncased,mmd,0.5,0.5365705203566429,0.002494497451360924
yelp_review_full,bert-base-uncased,mmd,0.75,0.580167181698667,0.0031423897211057435
yelp_review_full,bert-base-uncased,mmd,1.0,0.5813692003905242,0.004928522829650111
yelp_review_full,bert-base-uncased,wasserstein,0.0,0.2142013514737288,0.022490076740373812
yelp_review_full,bert-base-uncased,wasserstein,0.25,1.783458360369007,0.11303197802909212
yelp_review_full,bert-base-uncased,wasserstein,0.5,2.548089813306928,0.07830739496481692
yelp_review_full,bert-base-uncased,wasserstein,0.75,2.470330091908574,0.05364646234348542
yelp_review_full,bert-base-uncased,wasserstein,1.0,2.1532365964303417,0.0920203676231447
wikitext,nlpaueb/sec-bert-base,kl,0.0,34.0788258463164,6.691233848106168
wikitext,nlpaueb/sec-bert-base,kl,0.25,39.02782945162675,4.034825216909292
wikitext,nlpaueb/sec-bert-base,kl,0.5,44.045287674814794,7.7356069027727425
wikitext,nlpaueb/sec-bert-base,kl,0.75,59.162335211140885,5.557152102826971
wikitext,nlpaueb/sec-bert-base,kl,1.0,65.87925283504244,13.680341783699012
wikitext,nlpaueb/sec-bert-base,js,0.0,1.1091011599883343,0.2162936356040324
wikitext,nlpaueb/sec-bert-base,js,0.25,1.2164439510705514,0.18364061444966986
wikitext,nlpaueb/sec-bert-base,js,0.5,1.5500063991059374,0.3072119764646281
wikitext,nlpaueb/sec-bert-base,js,0.75,1.8043534409856257,0.3051528540567854
wikitext,nlpaueb/sec-bert-base,js,1.0,2.0844738187888523,0.3293177392625521
wikitext,nlpaueb/sec-bert-base,hellinger,0.0,1.2252981974941777,0.11313362581118414
wikitext,nlpaueb/sec-bert-base,hellinger,0.25,1.2795343646436255,0.1282916745482327
wikitext,nlpaueb/sec-bert-base,hellinger,0.5,1.4366056027322094,0.10739776716117116
wikitext,nlpaueb/sec-bert-base,hellinger,0.75,1.5807318166434483,0.15474734010157354
wikitext,nlpaueb/sec-bert-base,hellinger,1.0,1.6259475926669522,0.13969671079683246
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.0,-2.0609800985334292,0.05298813018732248
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.25,-2.033273075338687,0.0636332658906988
wikitext,nlpaueb/sec-bert-base,bhattacharyya,0.5,-1.9786496136811527,0.05321992512693301
