Dataset,Model,Measure,Drift Strength,Mean_Value,Std_Value
ag_news,bert-base-uncased,bhattacharyya,0.0,0.0791806034267832,0.006346155516125141
ag_news,bert-base-uncased,bhattacharyya,0.25,0.13732818909914168,0.006750903285670796
ag_news,bert-base-uncased,bhattacharyya,0.5,0.2254179587835896,0.018237128797906975
ag_news,bert-base-uncased,bhattacharyya,0.75,0.28082830920703467,0.024837829915623576
ag_news,bert-base-uncased,bhattacharyya,1.0,0.3042770484423695,0.017785275649614758
ag_news,bert-base-uncased,hellinger,0.0,0.27574862226215857,0.010762871791152076
ag_news,bert-base-uncased,hellinger,0.25,0.35876200275273257,0.011738087904213941
ag_news,bert-base-uncased,hellinger,0.5,0.4539008945468577,0.01579742850397265
ag_news,bert-base-uncased,hellinger,0.75,0.4949323015091344,0.01789355565010734
ag_news,bert-base-uncased,hellinger,1.0,0.5162491192787585,0.012332466343655686
ag_news,bert-base-uncased,js,0.0,0.06156214173142658,0.004595371434264311
ag_news,bert-base-uncased,js,0.25,0.10482316419683822,0.00424687850584805
ag_news,bert-base-uncased,js,0.5,0.1664328838565452,0.011775417871992782
ag_news,bert-base-uncased,js,0.75,0.19605490016056892,0.013822288466513797
ag_news,bert-base-uncased,js,1.0,0.20661918883013722,0.01463819034204476
ag_news,bert-base-uncased,kl,0.0,1.066051036087947,0.13130019138976343
ag_news,bert-base-uncased,kl,0.25,2.8233189935257132,0.08117824662243311
ag_news,bert-base-uncased,kl,0.5,4.707034849019204,0.27860684039496625
ag_news,bert-base-uncased,kl,0.75,6.500572702760331,0.3008813712679794
ag_news,bert-base-uncased,kl,1.0,6.473258147993692,0.2618393792883126
ag_news,bert-base-uncased,mmd,0.0,0.017587975909312565,0.0008555953039008111
ag_news,bert-base-uncased,mmd,0.25,0.18765591581662497,0.0016374554476866919
ag_news,bert-base-uncased,mmd,0.5,0.2910330593585968,0.0031415939339027275
ag_news,bert-base-uncased,mmd,0.75,0.32956024010976154,0.0015844594730811997
ag_news,bert-base-uncased,mmd,1.0,0.33910022179285687,0.0012706954143649034
ag_news,bert-base-uncased,wasserstein,0.0,0.1196638463566701,0.007696340198537566
ag_news,bert-base-uncased,wasserstein,0.25,1.5381918736120064,0.08793470772755878
ag_news,bert-base-uncased,wasserstein,0.5,2.231447137014071,0.08981910279421366
ag_news,bert-base-uncased,wasserstein,0.75,2.512978876403968,0.09619655083315211
ag_news,bert-base-uncased,wasserstein,1.0,2.6305412989238897,0.11655786111009293
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.0,0.06824406797440441,0.002301531276873855
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.25,0.09258474418382674,0.007159591097193162
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.5,0.16778154041262652,0.007991154083665736
ag_news,nlpaueb/sec-bert-base,bhattacharyya,0.75,0.24231321301157205,0.007225141566921229
ag_news,nlpaueb/sec-bert-base,bhattacharyya,1.0,0.30073934664298085,0.011263059541084421
ag_news,nlpaueb/sec-bert-base,hellinger,0.0,0.25681544097611075,0.004189640339778093
ag_news,nlpaueb/sec-bert-base,hellinger,0.25,0.29530484636491644,0.008350932446907077
ag_news,nlpaueb/sec-bert-base,hellinger,0.5,0.3929678011580419,0.005711668807809309
ag_news,nlpaueb/sec-bert-base,hellinger,0.75,0.4704483440844697,0.004668123174625221
ag_news,nlpaueb/sec-bert-base,hellinger,1.0,0.5123150382848056,0.0028922703770765273
ag_news,nlpaueb/sec-bert-base,js,0.0,0.05512452137060115,0.0011286804585607167
ag_news,nlpaueb/sec-bert-base,js,0.25,0.07300535412038488,0.0030614757120911557
ag_news,nlpaueb/sec-bert-base,js,0.5,0.12707145092709135,0.007130921744390246
ag_news,nlpaueb/sec-bert-base,js,0.75,0.1737789322682468,0.003659883563026328
ag_news,nlpaueb/sec-bert-base,js,1.0,0.2075118764636945,0.004739535415256858
ag_news,nlpaueb/sec-bert-base,kl,0.0,0.8324733001166686,0.13941394988598418
ag_news,nlpaueb/sec-bert-base,kl,0.25,1.3123656591581883,0.07095487811519977
ag_news,nlpaueb/sec-bert-base,kl,0.5,2.8669588965960675,0.21783975944377187
ag_news,nlpaueb/sec-bert-base,kl,0.75,4.194312950462527,0.28416048778765474
ag_news,nlpaueb/sec-bert-base,kl,1.0,4.965699540084452,0.2791685706711839
ag_news,nlpaueb/sec-bert-base,mmd,0.0,0.017158445591727894,0.00048046879086285243
ag_news,nlpaueb/sec-bert-base,mmd,0.25,0.09882886956135432,0.0022605681298692062
ag_news,nlpaueb/sec-bert-base,mmd,0.5,0.1905568242073059,0.00412876263986965
ag_news,nlpaueb/sec-bert-base,mmd,0.75,0.24887375036875406,0.003378799304201311
ag_news,nlpaueb/sec-bert-base,mmd,1.0,0.2837393681208293,0.004639050792959962
ag_news,nlpaueb/sec-bert-base,wasserstein,0.0,0.10747379351456961,0.01379297896028635
ag_news,nlpaueb/sec-bert-base,wasserstein,0.25,0.6787322592258453,0.0340500812940131
ag_news,nlpaueb/sec-bert-base,wasserstein,0.5,1.342262687174479,0.09062557778345158
ag_news,nlpaueb/sec-bert-base,wasserstein,0.75,1.8135233775456747,0.08926631696068879
ag_news,nlpaueb/sec-bert-base,wasserstein,1.0,2.098914074365298,0.13669529777730208
wikitext,bert-base-uncased,bhattacharyya,0.0,0.02144249029573042,0.0005483749613127566
wikitext,bert-base-uncased,bhattacharyya,0.25,0.2769070824170048,0.008391727543598348
