Measure,PCA,Base Mean (Drift 0.0),Final Mean (Drift 1.0),Std Dev (Avg),Relative Increase (%),Relative STD Increase (%),Normalized Std Dev (Avg),Normalized Relative Increase (%)
chebyshev,No,0.142,0.5522,0.0616,288.72,6.14,0.0,1.0
manhattan,Yes,0.4558,1.6225,0.4521,255.98,77.68,0.040732666451094725,0.8801566675207728
chebyshev,Yes,0.3301,1.1554,0.2763,249.99,27.32,0.02239514337272737,0.8582305355247263
euclidean,Yes,0.3606,1.244,0.2944,244.99,41.8,0.024283136363162233,0.8399282550605804
minkowski,Yes,0.3426,1.1723,0.2836,242.22,19.98,0.0231565991092011,0.8297887916834435
minkowski,No,0.4186,1.3942,0.0639,233.09,6.14,0.00023991071149172271,0.7963688275559133
euclidean,No,1.0813,3.5877,0.1453,231.81,14.92,0.008730663718198793,0.791683443757092
manhattan,No,23.8527,78.425,3.7102,228.79,40.21,0.3805818356298699,0.7806288663567479
mahalanobis,Yes,0.3913,1.2676,0.2863,223.92,15.65,0.02343823342269138,0.7628024451846698
mahalanobis,No,1.1786,2.6889,0.1225,128.15,-34.52,0.006352418404280841,0.41224056517442065
canberra,No,125.5214,268.212,9.6485,113.68,-34.36,1.0,0.3592737655111826
canberra,Yes,1.2919,1.4926,0.4846,15.53,-20.97,0.044122709113477765,0.0
