window_time,drift_distance,threshold,drift_detected
2015-01-11 08:09:48.506820096,0.0,,0
2015-02-05 05:45:21.200667648,inf,,0
2015-02-28 16:39:17.016885504,inf,,0
2015-03-24 08:51:32.283909632,inf,,0
2015-04-19 23:55:22.089075712,inf,,0
2015-05-16 05:23:02.882852864,inf,,0
2015-06-11 17:01:20.739780864,inf,,0
2015-07-07 02:48:50.688933888,inf,,0
2015-07-30 15:34:58.859391744,inf,,0
2015-08-21 15:05:12.752964864,inf,,0
2015-09-12 21:37:22.907615744,inf,,0
2015-10-05 21:53:33.587716864,inf,,0
2015-10-26 04:25:22.448119552,inf,,0
2015-11-13 17:02:05.369004800,inf,,0
2015-12-02 07:12:01.405064960,inf,,0
2015-12-22 18:55:59.606276864,inf,,0
2016-01-10 08:06:09.746892288,inf,,0
2016-01-21 04:39:16.918586112,inf,,0
2016-02-02 02:58:14.565866496,inf,,0
2016-02-14 18:06:33.121078016,inf,,0
2016-02-26 21:17:57.877155840,inf,,0
2016-03-09 07:50:47.186913280,inf,,0
2016-03-21 19:27:45.574640896,inf,,0
2016-04-04 14:40:47.423562496,inf,,0
2016-04-19 00:35:56.588087808,inf,,0
2016-04-29 09:06:52.916020480,inf,,0
2016-05-10 06:38:48.651970048,inf,,0
2016-05-21 10:47:31.657382656,inf,,0
2016-06-01 08:05:10.293080576,inf,,0
2016-06-11 14:38:48.016489472,inf,,0
2016-06-22 00:57:55.235603712,inf,,0
2016-07-02 07:25:22.794145280,inf,,0
2016-07-13 09:27:46.314788096,inf,,0
2016-07-22 03:46:52.547762176,inf,,0
2016-07-31 10:31:14.596140800,inf,,0
2016-08-09 22:13:06.052518912,inf,,0
2016-08-19 15:46:13.900492800,inf,,0
2016-08-29 05:53:12.757607936,inf,,0
2016-09-08 09:39:44.793902336,inf,,0
2016-09-18 06:03:33.502058752,inf,,0
2016-09-27 18:24:40.967160576,inf,,0
2016-10-07 13:41:23.872992768,inf,,0
2016-10-17 11:55:33.511858432,inf,,0
2016-10-27 01:29:41.976607488,inf,,0
2016-11-05 01:35:03.399676928,inf,,0
2016-11-14 19:01:10.739316736,inf,,0
2016-11-25 12:35:37.448248320,inf,,0
2016-12-03 15:52:34.117192704,inf,,0
2016-12-10 08:59:30.693692160,inf,,0
2016-12-17 08:49:39.525993984,inf,,0
2016-12-24 06:30:44.857579520,inf,,0
2016-12-30 03:47:24.421860352,inf,,0
2017-01-04 22:16:38.277375232,inf,,0
2017-01-10 20:56:48.223647488,inf,,0
2017-01-17 04:59:38.757997568,inf,,0
2017-01-24 02:28:52.148750848,inf,,0
2017-01-31 17:37:25.901447424,inf,,0
2017-02-08 10:39:14.659304192,inf,,0
2017-02-16 13:19:43.407748864,inf,,0
2017-02-25 01:31:15.515959808,inf,,0
2017-03-04 23:00:53.579133440,inf,,0
2017-03-12 14:57:13.493110272,inf,,0
2017-03-19 07:30:07.155601920,inf,,0
2017-03-26 15:48:53.983547904,inf,,0
2017-04-03 09:24:18.020380928,inf,,0
2017-04-11 11:19:21.909979904,inf,,0
2017-04-19 13:38:16.158673664,inf,,0
2017-04-27 04:32:28.451162880,inf,,0
2017-05-05 05:58:39.392567040,inf,,0
2017-05-14 04:22:32.892679424,inf,,0
2017-05-21 19:24:48.956270336,inf,,0
2017-05-29 21:29:31.905385472,inf,,0
2017-06-06 21:26:11.897116160,inf,,0
2017-06-14 20:46:07.987727104,inf,,0
2017-06-22 20:00:49.528886016,inf,,0
2017-07-01 09:36:16.053435904,inf,,0
2017-07-12 14:58:14.009790208,inf,,0
2017-07-19 05:59:53.470542080,inf,,0
2017-07-24 10:00:41.826860544,inf,,0
2017-07-31 22:57:28.080697088,inf,,0
2017-08-07 12:03:09.532411648,inf,,0
2017-08-14 17:50:42.746228992,inf,,0
2017-08-21 07:36:09.961766656,inf,,0
2017-08-28 19:57:39.823730432,inf,,0
2017-09-05 01:55:46.054718208,inf,,0
2017-09-13 14:01:37.723277568,inf,,0
2017-09-22 02:41:11.360974336,inf,,0
2017-09-30 17:22:12.757061120,inf,,0
2017-10-09 12:10:52.014179840,inf,,0
2017-10-18 05:33:31.071549952,inf,,0
2017-10-26 10:29:49.184672256,inf,,0
2017-11-03 13:32:06.526492928,inf,,0
2017-11-12 11:16:33.610533376,inf,,0
2017-11-22 09:22:30.779576064,inf,,0
2017-12-02 00:14:20.750861312,inf,,0
2017-12-10 18:38:30.163156736,inf,,0
2017-12-19 10:11:00.917120000,inf,,0
2017-12-29 04:55:25.730855936,inf,,0
2018-01-07 05:03:58.074396160,inf,,0
2018-01-13 01:15:01.810510336,inf,,0
2018-01-20 09:23:07.746618368,inf,,0
2018-01-28 08:00:23.843254272,inf,,0
2018-02-05 16:11:44.747650816,inf,,0
2018-02-14 04:34:46.924671744,inf,,0
2018-02-22 06:31:20.301297664,inf,,0
2018-03-02 00:39:40.729383424,inf,,0
2018-03-09 23:00:57.028640000,inf,,0
2018-03-18 07:01:04.328294144,inf,,0
2018-03-26 00:14:58.361884672,inf,,0
2018-04-02 21:40:45.219374592,inf,,0
2018-04-10 13:53:58.238752000,inf,,0
2018-04-18 05:52:30.149701888,inf,,0
2018-04-26 08:23:35.867226112,inf,,0
2018-05-04 09:15:51.821802496,inf,,0
2018-05-12 21:50:43.518119424,inf,,0
2018-05-21 12:17:53.595243520,inf,,0
2018-05-29 22:37:11.426733056,inf,,0
2018-06-07 00:32:46.876511488,inf,,0
2018-06-14 14:02:17.009661696,inf,,0
2018-06-22 06:59:06.886837248,inf,,0
2018-06-29 16:42:36.076887296,inf,,0
2018-07-07 12:49:43.480511488,inf,,0
2018-07-15 21:09:54.719060224,inf,,0
2018-07-25 08:17:45.434097408,inf,,0
2018-08-01 18:41:05.208256000,inf,,0
2018-08-08 13:01:39.231343616,inf,,0
2018-08-15 14:51:17.696300544,inf,,0
2018-08-23 01:01:27.213691648,inf,,0
2018-08-30 21:06:44.884686336,inf,,0
2018-09-08 13:18:56.003451648,inf,,0
2018-09-17 07:39:59.075442944,inf,,0
2018-09-26 03:50:15.335848704,inf,,0
2018-10-05 07:32:21.802231808,inf,,0
2018-10-13 18:44:58.700504832,inf,,0
2018-10-21 16:45:27.440193024,inf,,0
2018-10-29 08:42:23.578923776,inf,,0
2018-11-06 04:18:43.090291968,inf,,0
2018-11-14 20:25:18.838155776,inf,,0
2018-11-23 09:54:35.962477312,inf,,0
2018-12-01 08:47:21.810177536,inf,,0
