metric,init_memory_mb,baseline_memory_mb,final_memory_mb,peak_memory_mb,metric_type,memory_increase
euclidean,0.0209121704101562,0.6259698867797852,1.680959701538086,18.2152042388916,Vector-based,1.6600475311279297
mmd_kll,0.0332183837890625,0.1447372436523437,0.5628280639648438,17.10946273803711,Distribution-based,0.5296096801757812
kl_kll,0.0332183837890625,0.2751598358154297,0.5617780685424805,17.10474967956543,Distribution-based,0.528559684753418
kl_histogram,0.1064567565917968,0.1605501174926757,0.5386648178100586,17.083163261413574,Distribution-based,0.4322080612182618
wasserstein_histogram,0.1064567565917968,0.1307353973388672,0.5004673004150391,17.049894332885742,Distribution-based,0.39401054382324224
hellinger_histogram,0.1064567565917968,0.1298475265502929,0.4956560134887695,17.04638385772705,Distribution-based,0.38919925689697266
js_kll,0.0332183837890625,0.0982074737548828,0.483250617980957,17.026616096496582,Distribution-based,0.4500322341918945
wasserstein_kll,0.0332183837890625,0.2044591903686523,0.4673519134521484,17.01877212524414,Distribution-based,0.4341335296630859
hellinger_kll,0.0332183837890625,0.1874675750732422,0.4452419281005859,16.99836254119873,Distribution-based,0.4120235443115234
bhattacharyya_kll,0.0332183837890625,0.0654125213623046,0.4284067153930664,16.97849941253662,Distribution-based,0.3951883316040039
js_histogram,0.1064567565917968,0.1463756561279297,0.3857059478759765,16.960628509521484,Distribution-based,0.2792491912841797
manhattan,0.0110435485839843,0.1507692337036132,0.2053241729736328,16.958292961120605,Vector-based,0.19428062438964852
mmd_histogram,0.1064567565917968,0.1409263610839843,0.3855419158935547,16.95578098297119,Distribution-based,0.27908515930175787
bhattacharyya_histogram,0.1064567565917968,0.1327075958251953,0.368988037109375,16.94940948486328,Distribution-based,0.2625312805175782
cosine,0.0110435485839843,0.0536680221557617,0.2072315216064453,16.867578506469727,Vector-based,0.19618797302246102
mahalanobis,0.0110435485839843,0.0381736755371093,0.0683631896972656,16.854616165161133,Vector-based,0.0573196411132813
canberra,0.0110435485839843,0.0376100540161132,0.0698785781860351,16.8535795211792,Vector-based,0.0588350296020508
chebyshev,0.0110435485839843,0.0358810424804687,0.1853952407836914,16.853129386901855,Vector-based,0.17435169219970711
minkowski,0.0110435485839843,0.0358686447143554,0.1785535812377929,16.8530330657959,Vector-based,0.16751003265380862
