batch,seen_samples,ipca_time_s,kll_time_s,throughput_sps,ipca_mem_delta,kll_mem_delta,kll_bytes,pca_mse,kll_median_err
1,1000,0.0018235000025015324,0.0006612910001422279,402448.33426071773,475136,65536,5760,,
2,2000,0.0008191670058295131,0.0006121249971329235,698669.4524459272,212992,0,6320,,
3,3000,0.0006633750017499551,0.0005636249989038333,814995.9245861166,0,0,6320,,
4,4000,0.0006576660016435198,0.0005976660031592473,796602.0113994592,0,0,7040,,
5,5000,0.0006384160005836748,0.0005167499984963797,865676.4489228174,0,0,7120,,
6,6000,0.000574500001675915,0.0005009170054108836,929871.8482320677,0,0,6960,,
7,7000,0.0005724579968955368,0.0005192079988773912,916031.0973064376,0,0,7600,,
8,8000,0.000574500001675915,0.0005182079985388555,915157.5716508446,0,0,7760,,
9,9000,0.0005727910029236227,0.0004935420001856983,937793.3507488744,0,0,7840,,
10,10000,0.0005603750032605603,0.0005142919981153682,930520.8019969626,0,0,7680,,
11,11000,0.0005596249975496903,0.0004597910010488704,980953.8023483516,0,0,7840,,
12,12000,0.000520958004926797,0.00046908399963285774,1010058.1544969643,0,0,7680,,
13,13000,0.000755208995542489,0.0004318329956731759,842430.1814090732,638976,0,7600,,
14,14000,0.0005843339968123473,0.0005222079998929985,903716.2647034026,49152,0,8480,,
15,15000,0.000555749997147359,0.00048349999997299165,962232.3817857993,0,0,8320,,
16,16000,0.0005385410040616989,0.0004751250016852282,986518.2361157931,0,0,8640,,
17,17000,0.0005468330055009574,0.0004830000034417026,971031.2170190682,16384,0,8560,,
18,18000,0.0005007080035284162,0.00042749999556690454,1077344.7341271045,0,0,8560,,
19,19000,0.0005087499957880937,0.0004530420046648942,1039725.8445994735,0,0,8400,,
20,20000,0.0004961669983458705,0.00044529099977808073,1062182.276843689,0,0,8480,,
21,21000,0.00048562500160187483,0.00041708399658091366,1107776.7054644017,0,0,8480,,
22,22000,0.0004861249981331639,0.0004241249989718199,1098599.2894045182,0,0,8320,,
23,23000,0.00047687500045867637,0.0004046670001116581,1134375.8996769595,0,0,8560,,
24,24000,0.00046158300392562523,0.0004169999956502579,1138196.3917839616,0,0,8400,,
25,25000,0.0004628329988918267,0.00041687500197440386,1136740.8265189363,0,0,8400,,
26,26000,0.000476707995403558,0.0003762499982258305,1172390.6774645944,0,0,8320,,
27,27000,0.00046583400398958474,0.0004060419960296713,1146952.0894919855,0,0,8640,,
28,28000,0.00046120899787638336,0.000396249997720588,1166236.52575222,0,0,8480,,
29,29000,0.00045029199827695265,0.00036949999775970355,1219821.6191845888,0,0,8320,,
30,30000,0.0004395419964566827,0.00037112500285729766,1233552.1254056734,0,0,8640,,
31,31000,0.00045237500307848677,0.0004038339975522831,1167939.1354953046,0,0,8960,,
32,32000,0.0004405839936225675,0.0004321250016801059,1145857.3308886078,0,0,8960,,
33,33000,0.0004430409971973859,0.0003978749955422245,1189179.428901229,0,0,8960,,
34,34000,0.00043862500024260953,0.00039900000410852954,1193851.6577291572,0,0,9120,,
35,35000,0.00043449999793665484,0.00039762500091455877,1201742.5283227225,0,0,9360,,
36,36000,0.00043529200047487393,0.0003819170015049167,1223677.1714180526,0,0,8960,,
37,37000,0.0004377090008347295,0.00038791700353613123,1211202.1601863361,0,0,9360,,
38,38000,0.00042070799827342853,0.000384583996492438,1241785.5964043746,0,0,9200,,
39,39000,0.00043704099516617134,0.0003696249987115152,1239670.4554172992,0,0,9360,,
40,40000,0.000425750004069414,0.00038554100319743156,1232603.3335053169,0,0,9200,,
41,41000,0.00042704199586296454,0.0003992080019088462,1210287.4465316182,0,0,9200,,
42,42000,0.0004419999968376942,0.0003912089960067533,1200179.0770238251,0,16384,9040,,
43,43000,0.0004481249998207204,0.0003652079976745881,1229508.7044046412,0,0,8960,,
44,44000,0.00041362499905517325,0.00039391700556734577,1238325.6775199508,0,0,9200,,
45,45000,0.0004137500000069849,0.00037308400351321325,1270916.0960585377,0,0,9280,,
46,46000,0.00041283300379291177,0.00037841699668206275,1263823.0640122797,0,0,9040,,
47,47000,0.0004129590015509166,0.00034912499540951103,1312191.312228705,0,0,9360,,
48,48000,0.0004033330042148009,0.00035516700154403225,1318391.5522842493,0,0,9120,,
49,49000,0.0003995000006398186,0.00034958299511345103,1334965.5587821894,0,0,8960,,
50,50000,0.00040320900006918237,0.00034020799648715183,1345140.0823928064,0,0,9280,,
51,51000,0.00040091700066113845,0.00034208299621241167,1345895.025851781,0,0,9200,,
52,52000,0.00040733400237513706,0.0003529169989633374,1315355.058052447,0,0,9120,,
53,53000,0.00039895800000522286,0.00034445900382706895,1345140.0692276754,0,0,8960,,
54,54000,0.00039441700209863484,0.0003313330016680993,1377884.9394555616,0,0,9280,,
55,55000,0.0003925419950974174,0.00036616700526792556,1318028.387060741,0,0,9120,,
56,56000,0.00039362499956041574,0.0003440000000409782,1355702.4240506913,0,0,8960,,
57,57000,0.0003884999969159253,0.00032537500374019146,1400805.4618538374,0,0,9280,,
58,58000,0.00038912500167498365,0.0003713749974849634,1314924.3932999424,0,0,9520,,
59,59000,0.00039229200046975166,0.00035604200093075633,1336301.7023528249,0,0,9920,,
60,60000,0.0003875840047840029,0.0003609589984989725,1335928.5914291888,0,0,10080,,
61,61000,0.00039437499799532816,0.00035191699862480164,1339958.0921795818,0,0,10000,,
62,62000,0.00039266700332518667,0.00038191600469872355,1291017.2178333295,0,0,10000,,
63,63000,0.0003884170000674203,0.00035404099617153406,1346877.5406361949,0,0,9680,,
