batch,t_data,t_ipca,t_kll,throughput_sps,ipca_mem_delta,kll_mem_delta,pca_mse,kll_median_err,mode,kll_k,n_components,seed
1,0.0,0.0037513750030484516,0.0,266568.92451097997,16384.0,0.0,,,pca,8,2,42
2,0.0,0.0048971670003084,0.0,204199.69340172078,65536.0,0.0,,,pca,8,2,42
3,0.0,0.0047329580011137296,0.0,211284.35954104946,65536.0,0.0,,,pca,8,2,42
4,0.0,0.004508917001658119,0.0,221782.74730545224,65536.0,0.0,,,pca,8,2,42
5,0.0,0.004338124999776483,0.0,230514.33512209167,65536.0,0.0,0.9828178121111002,,pca,8,2,42
6,0.0,0.007583208996948088,0.0,131870.29401437525,65536.0,0.0,,,pca,8,2,42
7,0.0,0.016336417000275105,0.0,61212.93304297754,65536.0,0.0,,,pca,8,2,42
8,0.0,0.017723834000207717,0.0,56421.20096522459,65536.0,0.0,,,pca,8,2,42
9,0.0,0.009555583998007933,0.0,104650.85129370131,65536.0,0.0,,,pca,8,2,42
10,0.0,0.009081125001102919,0.0,110118.51503845044,98304.0,0.0,0.9826050427306692,,pca,8,2,42
11,0.0,0.008363458000530954,0.0,119567.7672963163,114688.0,0.0,,,pca,8,2,42
12,0.0,0.008625542002846487,0.0,115934.74354075296,114688.0,0.0,,,pca,8,2,42
13,0.0,0.008903207999537699,0.0,112319.06522367278,114688.0,0.0,,,pca,8,2,42
14,0.0,0.009014249997562729,0.0,110935.4633242233,114688.0,0.0,,,pca,8,2,42
15,0.0,0.008355333000508836,0.0,119684.03891731192,114688.0,0.0,0.982596317622872,,pca,8,2,42
16,0.0,0.009485999999014894,0.0,105418.5115015653,114688.0,0.0,,,pca,8,2,42
17,0.0,0.009094124998227926,0.0,109961.10128185606,114688.0,0.0,,,pca,8,2,42
18,0.0,0.00901345899910666,0.0,110945.19874102846,114688.0,0.0,,,pca,8,2,42
19,0.0,0.008851000002323417,0.0,112981.58397214966,114688.0,0.0,,,pca,8,2,42
20,0.0,0.007835125001292909,0.0,127630.38239147245,131072.0,0.0,0.9825429641518526,,pca,8,2,42
21,0.0,0.008540041999367531,0.0,117095.44286480783,131072.0,0.0,,,pca,8,2,42
22,0.0,0.011395083001843886,0.0,87757.14927554154,131072.0,0.0,,,pca,8,2,42
23,0.0,0.011869750000187196,0.0,84247.7726981806,131072.0,0.0,,,pca,8,2,42
24,0.0,0.010261166997224791,0.0,97454.8021945708,131072.0,0.0,,,pca,8,2,42
25,0.0,0.00921362500230316,0.0,108534.91429812116,131072.0,0.0,0.9825028231968523,,pca,8,2,42
26,0.0,0.010639457999786828,0.0,93989.75023164113,131072.0,0.0,,,pca,8,2,42
27,0.0,0.004418374999659136,0.0,226327.55256788907,131072.0,0.0,,,pca,8,2,42
28,0.0,0.009603333000995917,0.0,104130.51384308912,131072.0,0.0,,,pca,8,2,42
29,0.0,0.008150125002430286,0.0,122697.50460291222,131072.0,0.0,,,pca,8,2,42
30,0.0,0.008183999998436775,0.0,122189.63834201,131072.0,0.0,0.9824843562531703,,pca,8,2,42
31,0.0,0.008388166999793611,0.0,119215.55687012487,131072.0,0.0,,,pca,8,2,42
32,0.0,0.007021583001915133,0.0,142418.02734899675,131072.0,0.0,,,pca,8,2,42
33,0.0,0.007604124999488704,0.0,131507.56991333512,131072.0,0.0,,,pca,8,2,42
34,0.0,0.007073374999890802,0.0,141375.22752793934,131072.0,0.0,,,pca,8,2,42
35,0.0,0.008127832999889506,0.0,123034.02395369031,131072.0,0.0,0.9824569341047946,,pca,8,2,42
36,0.0,0.008207750001020031,0.0,121836.06955325436,131072.0,0.0,,,pca,8,2,42
37,0.0,0.0086933329985186,0.0,115030.6792769133,131072.0,0.0,,,pca,8,2,42
38,0.0,0.008224332999816397,0.0,121590.4073950221,131072.0,0.0,,,pca,8,2,42
39,0.0,0.00969937499758089,0.0,103099.42653515395,131072.0,0.0,,,pca,8,2,42
40,0.0,0.00899287499851198,0.0,111199.14378499275,131072.0,0.0,0.9824455814015189,,pca,8,2,42
41,0.0,0.00846116699904087,0.0,118187.00660480483,131072.0,0.0,,,pca,8,2,42
42,0.0,0.010774041998956818,0.0,92815.6767995543,131072.0,0.0,,,pca,8,2,42
43,0.0,0.009518541999568697,0.0,105058.10659293323,131072.0,0.0,,,pca,8,2,42
44,0.0,0.011342875000991626,0.0,88161.07026768586,131072.0,0.0,,,pca,8,2,42
45,0.0,0.007944332999613835,0.0,125875.89166373173,131072.0,0.0,0.9824332790812004,,pca,8,2,42
46,0.0,0.012047582997183781,0.0,83004.20094501594,131072.0,0.0,,,pca,8,2,42
47,0.0,0.008304625000164378,0.0,120414.82908381852,131072.0,0.0,,,pca,8,2,42
48,0.0,0.009451417001400841,0.0,105804.24076641472,131072.0,0.0,,,pca,8,2,42
49,0.0,0.012055666000378551,0.0,82948.548837418,131072.0,0.0,,,pca,8,2,42
50,0.0,0.00882183399880887,0.0,113355.11415597037,131072.0,0.0,0.9824256447513923,,pca,8,2,42
51,0.0,0.008911749999242602,0.0,112211.40629898602,131072.0,0.0,,,pca,8,2,42
52,0.0,0.008710250000149244,0.0,114807.26729805295,131072.0,0.0,,,pca,8,2,42
53,0.0,0.006468416999268811,0.0,154597.33039985516,131072.0,0.0,,,pca,8,2,42
54,0.0,0.008305957999255043,0.0,120395.5040574115,131072.0,0.0,,,pca,8,2,42
55,0.0,0.0096508749993518,0.0,103617.5476386509,131072.0,0.0,0.9824095708565772,,pca,8,2,42
56,0.0,0.009062332999747014,0.0,110346.86101558134,131072.0,0.0,,,pca,8,2,42
57,0.0,0.007849333000194747,0.0,127399.35991697502,131072.0,0.0,,,pca,8,2,42
58,0.0,0.008769125000981148,0.0,114036.46314633595,131072.0,0.0,,,pca,8,2,42
59,0.0,0.00820699999894714,0.0,121847.20362230876,131072.0,0.0,,,pca,8,2,42
60,0.0,0.009939875002601184,0.0,100604.88685605284,131072.0,0.0,0.9824237609852351,,pca,8,2,42
61,0.0,0.009562125000229571,0.0,104579.2645438113,131072.0,0.0,,,pca,8,2,42
62,0.0,0.008650874999148073,0.0,115595.2432671237,131072.0,0.0,,,pca,8,2,42
63,0.0,0.0074038750026375055,0.0,135064.40879185114,131072.0,0.0,,,pca,8,2,42
64,0.0,0.008072166001511505,0.0,123882.48703170265,131072.0,0.0,,,pca,8,2,42
65,0.0,0.008136291999107925,0.0,122906.11006950604,131072.0,0.0,0.9824432734189565,,pca,8,2,42
66,0.0,0.004291458000807324,0.0,233021.03849364864,131072.0,0.0,,,pca,8,2,42
67,0.0,0.00760137500037672,0.0,131555.14626635847,131072.0,0.0,,,pca,8,2,42
68,0.0,0.010211374999926193,0.0,97930.00452997054,131072.0,0.0,,,pca,8,2,42
69,0.0,0.004168625000602333,0.0,239887.2529564324,131072.0,0.0,,,pca,8,2,42
70,0.0,0.009469208998780232,0.0,105605.44181977757,131072.0,0.0,0.982428487532364,,pca,8,2,42
71,0.0,0.008528457998181693,0.0,117254.49081336915,131072.0,0.0,,,pca,8,2,42
72,0.0,0.00985887500064564,0.0,101431.45135063706,131072.0,0.0,,,pca,8,2,42
73,0.0,0.00996891600152594,0.0,100311.80921244899,131072.0,0.0,,,pca,8,2,42
74,0.0,0.011363499997969484,0.0,88001.05602839685,131072.0,0.0,,,pca,8,2,42
75,0.0,0.009853666997514665,0.0,101485.06137382402,131072.0,0.0,0.9824217571197368,,pca,8,2,42
76,0.0,0.009417042001587106,0.0,106190.45766509956,131072.0,0.0,,,pca,8,2,42
77,0.0,0.009370458003104432,0.0,106718.36954700615,131072.0,0.0,,,pca,8,2,42
78,0.0,0.009824958997342037,0.0,101781.59524844142,131072.0,0.0,,,pca,8,2,42
79,0.0,0.011277459001576062,0.0,88672.45714307156,131072.0,0.0,,,pca,8,2,42
80,0.0,0.010176708998187678,0.0,98263.59387677148,131072.0,0.0,0.9824209652343159,,pca,8,2,42
81,0.0,0.007305999999516644,0.0,136873.8023632848,131072.0,0.0,,,pca,8,2,42
82,0.0,0.0102100000003702,0.0,97943.19294453882,131072.0,0.0,,,pca,8,2,42
83,0.0,0.009076416998141212,0.0,110175.63430644418,131072.0,0.0,,,pca,8,2,42
84,0.0,0.009091832998819882,0.0,109988.82185031332,131072.0,0.0,,,pca,8,2,42
85,0.0,0.011528457998792874,0.0,86741.86956353646,131072.0,0.0,0.982425998237601,,pca,8,2,42
86,0.0,0.008741540998016717,0.0,114396.30612347185,131072.0,0.0,,,pca,8,2,42
87,0.0,0.009599375000107102,0.0,104173.4487910768,131072.0,0.0,,,pca,8,2,42
88,0.0,0.009049332998984028,0.0,110505.38201127866,131072.0,0.0,,,pca,8,2,42
89,0.0,0.010697958001401275,0.0,93475.78293624023,131072.0,0.0,,,pca,8,2,42
90,0.0,0.011357916999259032,0.0,88044.31306068164,131072.0,0.0,0.9824216339126277,,pca,8,2,42
91,0.0,0.008791332998953294,0.0,113748.39289093715,131072.0,0.0,,,pca,8,2,42
92,0.0,0.009341207998659229,0.0,107052.53540479271,131072.0,0.0,,,pca,8,2,42
93,0.0,0.010626708000927465,0.0,94102.51979378027,131072.0,0.0,,,pca,8,2,42
94,0.0,0.008919834002881544,0.0,112109.70962878356,131072.0,0.0,,,pca,8,2,42
95,0.0,0.00856829199983622,0.0,116709.37451934583,131072.0,0.0,0.9824259889410448,,pca,8,2,42
96,0.0,0.008768375002546236,0.0,114046.21719641455,131072.0,0.0,,,pca,8,2,42
97,0.0,0.010617457999614999,0.0,94184.50254630262,131072.0,0.0,,,pca,8,2,42
98,0.0,0.008198416999221081,0.0,121974.76660372465,131072.0,0.0,,,pca,8,2,42
99,0.0,0.010248875001707347,0.0,97571.68468084656,131072.0,0.0,,,pca,8,2,42
100,0.0,0.008958667000115383,0.0,111623.74938002724,131072.0,0.0,0.9824270138414142,,pca,8,2,42
1,0.0,0.007503207998524886,0.0,133276.3266321016,0.0,0.0,,,pca,8,2,101
2,0.0,0.00490137499946286,0.0,204024.38093587814,0.0,0.0,,,pca,8,2,101
3,0.0,0.00705112499781535,0.0,141821.3406101622,0.0,0.0,,,pca,8,2,101
4,0.0,0.008468042000458809,0.0,118091.05339177803,0.0,0.0,,,pca,8,2,101
5,0.0,0.008118959001876647,0.0,123168.4997755077,0.0,0.0,0.9813644500006944,,pca,8,2,101
6,0.0,0.004346292000263929,0.0,230081.1818302302,0.0,0.0,,,pca,8,2,101
7,0.0,0.006621749998885207,0.0,151017.48029876594,0.0,0.0,,,pca,8,2,101
8,0.0,0.009927041999617359,0.0,100734.94199365182,0.0,0.0,,,pca,8,2,101
9,0.0,0.009339250002085464,0.0,107074.97923031282,0.0,0.0,,,pca,8,2,101
10,0.0,0.008286000000225613,0.0,120685.49360038279,0.0,0.0,0.9811335308409632,,pca,8,2,101
11,0.0,0.01343112500035204,0.0,74453.92697735962,0.0,0.0,,,pca,8,2,101
12,0.0,0.007199333998869406,0.0,138901.73732140244,0.0,0.0,,,pca,8,2,101
13,0.0,0.00820966699757264,0.0,121807.62024765085,0.0,0.0,,,pca,8,2,101
14,0.0,0.007731292000244139,0.0,129344.48730799742,0.0,0.0,,,pca,8,2,101
15,0.0,0.010536791000049561,0.0,94905.55521081289,0.0,0.0,0.9811979134712396,,pca,8,2,101
16,0.0,0.007813457999873208,0.0,127984.30605453148,0.0,0.0,,,pca,8,2,101
17,0.0,0.006096958000853192,0.0,164016.2192129358,0.0,0.0,,,pca,8,2,101
18,0.0,0.007399374997476116,0.0,135146.54958575478,0.0,0.0,,,pca,8,2,101
19,0.0,0.007001458998274757,0.0,142827.37358690696,0.0,0.0,,,pca,8,2,101
20,0.0,0.006487249997007893,0.0,154148.52217214208,0.0,0.0,0.9811977591150135,,pca,8,2,101
21,0.0,0.006300124998233514,0.0,158727.00942923976,0.0,0.0,,,pca,8,2,101
22,0.0,0.004129500000999542,0.0,242160.06774620435,0.0,0.0,,,pca,8,2,101
23,0.0,0.0040165419995901175,0.0,248970.3830065884,0.0,0.0,,,pca,8,2,101
24,0.0,0.0066282089974265546,0.0,150870.3181188548,0.0,0.0,,,pca,8,2,101
25,0.0,0.007997208002052503,0.0,125043.64019834767,0.0,0.0,0.9811819626978775,,pca,8,2,101
26,0.0,0.007209499999589752,0.0,138705.874201665,0.0,0.0,,,pca,8,2,101
27,0.0,0.008021959001780488,0.0,124657.82981165178,0.0,0.0,,,pca,8,2,101
28,0.0,0.005535625001357403,0.0,180648.074924654,0.0,0.0,,,pca,8,2,101
29,0.0,0.005959250000159955,0.0,167806.351465899,0.0,0.0,,,pca,8,2,101
30,0.0,0.01393149999785237,0.0,71779.77964714183,0.0,0.0,0.9811439795659735,,pca,8,2,101
31,0.0,0.006060250001610257,0.0,165009.69427569688,0.0,0.0,,,pca,8,2,101
32,0.0,0.008484416001010686,0.0,117863.15049626013,0.0,0.0,,,pca,8,2,101
